Geography;Crime Category;Financial Year;Count
Free State;Crimes Detected as a Result of Police Action;2016;15015
Free State;Crimes Detected as a Result of Police Action;2017;16011
Free State;Crimes Detected as a Result of Police Action;2018;11907
Free State;Crimes Detected as a Result of Police Action;2019;8313
Free State;Crimes Detected as a Result of Police Action;2020;6251
Gauteng  ;Crimes Detected as a Result of Police Action;2011;51085
Gauteng  ;Crimes Detected as a Result of Police Action;2012;64337
Gauteng  ;Crimes Detected as a Result of Police Action;2013;104858
Gauteng  ;Crimes Detected as a Result of Police Action;2014;100267
Gauteng  ;Crimes Detected as a Result of Police Action;2015;91799
Gauteng  ;Crimes Detected as a Result of Police Action;2016;95403
Gauteng  ;Crimes Detected as a Result of Police Action;2017;107614
Gauteng  ;Crimes Detected as a Result of Police Action;2018;90476
Gauteng  ;Crimes Detected as a Result of Police Action;2019;83090
Gauteng  ;Crimes Detected as a Result of Police Action;2020;47859
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2011;55907
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2012;62908
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2013;64896
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2014;65418
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2015;64875
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2016;71390
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2017;80143
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2018;60283
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2019;54199
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2020;29371
Limpopo;Crimes Detected as a Result of Police Action;2011;9081
Limpopo;Crimes Detected as a Result of Police Action;2012;12402
Limpopo;Crimes Detected as a Result of Police Action;2013;14269
Limpopo;Crimes Detected as a Result of Police Action;2014;18321
Limpopo;Crimes Detected as a Result of Police Action;2015;17709
Limpopo;Crimes Detected as a Result of Police Action;2016;20044
Limpopo;Crimes Detected as a Result of Police Action;2017;27262
Limpopo;Crimes Detected as a Result of Police Action;2018;23249
Limpopo;Crimes Detected as a Result of Police Action;2019;16920
Limpopo;Crimes Detected as a Result of Police Action;2020;13767
Mpumalanga;Crimes Detected as a Result of Police Action;2011;8657
Mpumalanga;Crimes Detected as a Result of Police Action;2012;10740
Mpumalanga;Crimes Detected as a Result of Police Action;2013;11534
Mpumalanga;Crimes Detected as a Result of Police Action;2014;12929
Mpumalanga;Crimes Detected as a Result of Police Action;2015;14539
Mpumalanga;Crimes Detected as a Result of Police Action;2016;16902
Mpumalanga;Crimes Detected as a Result of Police Action;2017;18434
Mpumalanga;Crimes Detected as a Result of Police Action;2018;15205
Mpumalanga;Crimes Detected as a Result of Police Action;2019;13267
Mpumalanga;Crimes Detected as a Result of Police Action;2020;7167
North West;Crimes Detected as a Result of Police Action;2011;9894
North West;Crimes Detected as a Result of Police Action;2012;11868
North West;Crimes Detected as a Result of Police Action;2013;13882
North West;Crimes Detected as a Result of Police Action;2014;14196
North West;Crimes Detected as a Result of Police Action;2015;15537
North West;Crimes Detected as a Result of Police Action;2016;15524
North West;Crimes Detected as a Result of Police Action;2017;17485
North West;Crimes Detected as a Result of Police Action;2018;13807
North West;Crimes Detected as a Result of Police Action;2019;12028
North West;Crimes Detected as a Result of Police Action;2020;5661
Northern Cape;Crimes Detected as a Result of Police Action;2011;3597
Northern Cape;Crimes Detected as a Result of Police Action;2012;3749
Northern Cape;Crimes Detected as a Result of Police Action;2013;4093
Northern Cape;Crimes Detected as a Result of Police Action;2014;4436
Northern Cape;Crimes Detected as a Result of Police Action;2015;5183
Northern Cape;Crimes Detected as a Result of Police Action;2016;6084
Northern Cape;Crimes Detected as a Result of Police Action;2017;6495
Northern Cape;Crimes Detected as a Result of Police Action;2018;4573
Northern Cape;Crimes Detected as a Result of Police Action;2019;3316
Northern Cape;Crimes Detected as a Result of Police Action;2020;2594
Western Cape;Crimes Detected as a Result of Police Action;2011;97179
Western Cape;Crimes Detected as a Result of Police Action;2012;100296
Western Cape;Crimes Detected as a Result of Police Action;2013;101967
Western Cape;Crimes Detected as a Result of Police Action;2014;105043
Western Cape;Crimes Detected as a Result of Police Action;2015;108782
Western Cape;Crimes Detected as a Result of Police Action;2016;123477
Western Cape;Crimes Detected as a Result of Police Action;2017;133521
Western Cape;Crimes Detected as a Result of Police Action;2018;97223
Western Cape;Crimes Detected as a Result of Police Action;2019;78174
Western Cape;Crimes Detected as a Result of Police Action;2020;50998
ZA;Contact Crimes;2021;607163
Eastern Cape ;Contact Crimes;2021;66581
Free State;Contact Crimes;2021;36356
Gauteng  ;Contact Crimes;2021;171026
KwaZulu-Natal;Contact Crimes;2021;103725
Limpopo;Contact Crimes;2021;37690
Mpumalanga;Contact Crimes;2021;36099
North West;Contact Crimes;2021;36782
Northern Cape;Contact Crimes;2021;16847
Western Cape;Contact Crimes;2021;102057
ZA;Sexual Offences;2021;52694
Eastern Cape ;Sexual Offences;2021;8404
Free State;Sexual Offences;2021;3416
Gauteng  ;Sexual Offences;2021;11178
KwaZulu-Natal;Sexual Offences;2021;9617
Limpopo;Sexual Offences;2021;4309
Mpumalanga;Sexual Offences;2021;3553
North West;Sexual Offences;2021;3737
Northern Cape;Sexual Offences;2021;1317
Western Cape;Sexual Offences;2021;7163
ZA;Aggravated Robberies;2021;64759
Eastern Cape ;Aggravated Robberies;2021;5723
Free State;Aggravated Robberies;2021;1876
Gauteng  ;Aggravated Robberies;2021;26033
KwaZulu-Natal;Aggravated Robberies;2021;12027
Limpopo;Aggravated Robberies;2021;3548
Mpumalanga;Aggravated Robberies;2021;5151
North West;Aggravated Robberies;2021;3071
Northern Cape;Aggravated Robberies;2021;377
Western Cape;Aggravated Robberies;2021;6953
ZA;Contact Related Crimes;2021;117505
Eastern Cape ;Contact Related Crimes;2021;13166
Free State;Contact Related Crimes;2021;6806
Gauteng  ;Contact Related Crimes;2021;29399
KwaZulu-Natal;Contact Related Crimes;2021;16512
Limpopo;Contact Related Crimes;2021;7768
Mpumalanga;Contact Related Crimes;2021;6272
North West;Contact Related Crimes;2021;6739
Northern Cape;Contact Related Crimes;2021;3793
Western Cape;Contact Related Crimes;2021;27050
ZA;Property Related Crimes;2021;362274
Eastern Cape ;Property Related Crimes;2021;40587
Free State;Property Related Crimes;2021;22900
Gauteng  ;Property Related Crimes;2021;91075
KwaZulu-Natal;Property Related Crimes;2021;61808
Limpopo;Property Related Crimes;2021;23440
Mpumalanga;Property Related Crimes;2021;25176
North West;Property Related Crimes;2021;25020
Northern Cape;Property Related Crimes;2021;10782
Western Cape;Property Related Crimes;2021;61486
ZA;Other Serious Crimes;2021;393821
Eastern Cape ;Other Serious Crimes;2021;36542
Free State;Other Serious Crimes;2021;21875
Gauteng  ;Other Serious Crimes;2021;115972
KwaZulu-Natal;Other Serious Crimes;2021;58294
Limpopo;Other Serious Crimes;2021;22673
Mpumalanga;Other Serious Crimes;2021;21914
North West;Other Serious Crimes;2021;21647
Northern Cape;Other Serious Crimes;2021;9942
Western Cape;Other Serious Crimes;2021;84962
ZA;Crimes Detected as a Result of Police Action;2021;204990
Eastern Cape ;Crimes Detected as a Result of Police Action;2021;204990
Free State;Crimes Detected as a Result of Police Action;2021;7759
Gauteng  ;Crimes Detected as a Result of Police Action;2021;52608
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2021;30794
Limpopo;Crimes Detected as a Result of Police Action;2021;11751
Mpumalanga;Crimes Detected as a Result of Police Action;2021;7667
North West;Crimes Detected as a Result of Police Action;2021;8494
Northern Cape;Crimes Detected as a Result of Police Action;2021;2487
Western Cape;Crimes Detected as a Result of Police Action;2021;68641
ZA;Contact Crimes;2022;653659
ZA;Sexual Offences;2022;53888
ZA;Aggravated Robberies;2022;68015
ZA;Contact Related Crimes;2022;118816
ZA;Property Related Crimes;2022;377690
ZA;Other Serious Crimes;2022;437038
ZA;Crimes Detected as a Result of Police Action;2022;228983
Eastern Cape ;Contact Crimes;2022;71191
Eastern Cape ;Sexual Offences;2022;8361
Eastern Cape ;Aggravated Robberies;2022;6433
Eastern Cape ;Contact Related Crimes;2022;13459
Eastern Cape ;Property Related Crimes;2022;43066
Eastern Cape ;Other Serious Crimes;2022;39447
Eastern Cape ;Crimes Detected as a Result of Police Action;2022;16184
Free State;Contact Crimes;2022;39829
Free State;Sexual Offences;2022;3442
Free State;Aggravated Robberies;2022;1838
Free State;Contact Related Crimes;2022;7123
Free State;Property Related Crimes;2022;24768
Free State;Other Serious Crimes;2022;23735
Free State;Crimes Detected as a Result of Police Action;2022;9816
Gauteng  ;Contact Crimes;2022;181837
Gauteng  ;Sexual Offences;2022;11160
Gauteng  ;Aggravated Robberies;2022;26599
Gauteng  ;Contact Related Crimes;2022;29252
Gauteng  ;Property Related Crimes;2022;94057
Gauteng  ;Other Serious Crimes;2022;128695
Gauteng  ;Crimes Detected as a Result of Police Action;2022;59348
KwaZulu-Natal;Contact Crimes;2022;109916
KwaZulu-Natal;Sexual Offences;2022;10160
KwaZulu-Natal;Aggravated Robberies;2022;13372
KwaZulu-Natal;Contact Related Crimes;2022;14749
KwaZulu-Natal;Property Related Crimes;2022;59887
KwaZulu-Natal;Other Serious Crimes;2022;63665
KwaZulu-Natal;Crimes Detected as a Result of Police Action;2022;32189
Limpopo;Contact Crimes;2022;42142
Limpopo;Sexual Offences;2022;4715
Limpopo;Aggravated Robberies;2022;3931
Limpopo;Contact Related Crimes;2022;8171
Limpopo;Property Related Crimes;2022;24614
Limpopo;Other Serious Crimes;2022;26767
Limpopo;Crimes Detected as a Result of Police Action;2022;11967
Mpumalanga;Contact Crimes;2022;36565
Mpumalanga;Sexual Offences;2022;3321
Mpumalanga;Aggravated Robberies;2022;5052
Mpumalanga;Contact Related Crimes;2022;6024
Mpumalanga;Property Related Crimes;2022;26434
Mpumalanga;Other Serious Crimes;2022;22758
Mpumalanga;Crimes Detected as a Result of Police Action;2022;7262
North West;Contact Crimes;2022;40642
North West;Sexual Offences;2022;3888
North West;Aggravated Robberies;2022;3170
North West;Contact Related Crimes;2022;7171
North West;Property Related Crimes;2022;26082
North West;Other Serious Crimes;2022;23921
North West;Crimes Detected as a Result of Police Action;2022;10210
Northern Cape;Contact Crimes;2022;18830
Northern Cape;Sexual Offences;2022;1531
Northern Cape;Aggravated Robberies;2022;470
Northern Cape;Contact Related Crimes;2022;4272
Northern Cape;Property Related Crimes;2022;12510
Northern Cape;Other Serious Crimes;2022;11876
Northern Cape;Crimes Detected as a Result of Police Action;2022;2901
Western Cape;Contact Crimes;2022;112707
Western Cape;Sexual Offences;2022;7310
Western Cape;Aggravated Robberies;2022;7150
Western Cape;Contact Related Crimes;2022;28595
Western Cape;Property Related Crimes;2022;66272
Western Cape;Other Serious Crimes;2022;96174
Western Cape;Crimes Detected as a Result of Police Action;2022;79106
